Unnamed: 0,raw_data,date,price,percent,district,small_district
10,"2017年02月房价
33973元/㎡
0.21%↓
龙岗
longgangzhongxincheng",2017年02月房价,33973元/㎡,0.21%↓,龙岗,longgangzhongxincheng
11,"2017年01月房价
34042元/㎡
1.85%↓
龙岗
longgangzhongxincheng",2017年01月房价,34042元/㎡,1.85%↓,龙岗,longgangzhongxincheng
0,"2019年12月房价
51768元/㎡
0.47%↓
罗湖
shuiku",2019年12月房价,51768元/㎡,0.47%↓,罗湖,shuiku
1,"2019年11月房价
52011元/㎡
2.35%↓
罗湖
shuiku",2019年11月房价,52011元/㎡,2.35%↓,罗湖,shuiku
2,"2019年10月房价
53266元/㎡
0.36%↓
罗湖
shuiku",2019年10月房价,53266元/㎡,0.36%↓,罗湖,shuiku
3,"2019年09月房价
53460元/㎡
1.57%↓
罗湖
shuiku",2019年09月房价,53460元/㎡,1.57%↓,罗湖,shuiku
4,"2019年08月房价
54315元/㎡
2.6%↑
罗湖
shuiku",2019年08月房价,54315元/㎡,2.6%↑,罗湖,shuiku
5,"2019年07月房价
52940元/㎡
3.67%↑
罗湖
shuiku",2019年07月房价,52940元/㎡,3.67%↑,罗湖,shuiku
6,"2019年06月房价
51064元/㎡
4.29%↓
罗湖
shuiku",2019年06月房价,51064元/㎡,4.29%↓,罗湖,shuiku
7,"2019年05月房价
53353元/㎡
1.79%↓
罗湖
shuiku",2019年05月房价,53353元/㎡,1.79%↓,罗湖,shuiku
8,"2019年04月房价
54325元/㎡
0.9%↑
罗湖
shuiku",2019年04月房价,54325元/㎡,0.9%↑,罗湖,shuiku
9,"2019年03月房价
53841元/㎡
3.72%↑
罗湖
shuiku",2019年03月房价,53841元/㎡,3.72%↑,罗湖,shuiku
10,"2019年02月房价
51909元/㎡
2.04%↑
罗湖
shuiku",2019年02月房价,51909元/㎡,2.04%↑,罗湖,shuiku
11,"2019年01月房价
50871元/㎡
1.23%↓
罗湖
shuiku",2019年01月房价,50871元/㎡,1.23%↓,罗湖,shuiku
0,"2015年12月房价
35677元/㎡
2%↑
罗湖
sungang",2015年12月房价,35677元/㎡,2%↑,罗湖,sungang
1,"2015年11月房价
34975元/㎡
2%↑
罗湖
sungang",2015年11月房价,34975元/㎡,2%↑,罗湖,sungang
2,"2015年10月房价
34370元/㎡
2%↑
罗湖
sungang",2015年10月房价,34370元/㎡,2%↑,罗湖,sungang
3,"2015年09月房价
33753元/㎡
--
罗湖
sungang",2015年09月房价,33753元/㎡,--,罗湖,sungang
4,"2015年08月房价
33860元/㎡
4%↑
罗湖
sungang",2015年08月房价,33860元/㎡,4%↑,罗湖,sungang
5,"2015年07月房价
32409元/㎡
10%↑
罗湖
sungang",2015年07月房价,32409元/㎡,10%↑,罗湖,sungang
6,"2015年06月房价
29411元/㎡
5%↑
罗湖
sungang",2015年06月房价,29411元/㎡,5%↑,罗湖,sungang
7,"2015年05月房价
28044元/㎡
6%↑
罗湖
sungang",2015年05月房价,28044元/㎡,6%↑,罗湖,sungang
8,"2015年04月房价
26408元/㎡
10%↑
罗湖
sungang",2015年04月房价,26408元/㎡,10%↑,罗湖,sungang
9,"2015年03月房价
24003元/㎡
1%↓
罗湖
sungang",2015年03月房价,24003元/㎡,1%↓,罗湖,sungang
10,"2015年02月房价
24130元/㎡
1%↓
罗湖
sungang",2015年02月房价,24130元/㎡,1%↓,罗湖,sungang
11,"2015年01月房价
24454元/㎡
1%↓
罗湖
sungang",2015年01月房价,24454元/㎡,1%↓,罗湖,sungang
0,"2014年12月房价
26759元/㎡
1.23%↑
罗湖
dongmen",2014年12月房价,26759元/㎡,1.23%↑,罗湖,dongmen
1,"2014年11月房价
26434元/㎡
0.72%↓
罗湖
dongmen",2014年11月房价,26434元/㎡,0.72%↓,罗湖,dongmen
2,"2014年10月房价
26626元/㎡
--
罗湖
dongmen",2014年10月房价,26626元/㎡,--,罗湖,dongmen
3,"2014年09月房价
26626元/㎡
0.81%↑
罗湖
dongmen",2014年09月房价,26626元/㎡,0.81%↑,罗湖,dongmen
4,"2014年08月房价
26411元/㎡
4.71%↑
罗湖
dongmen",2014年08月房价,26411元/㎡,4.71%↑,罗湖,dongmen
5,"2014年07月房价
25224元/㎡
4%↓
罗湖
dongmen",2014年07月房价,25224元/㎡,4%↓,罗湖,dongmen
6,"2014年06月房价
26275元/㎡
6.03%↑
罗湖
dongmen",2014年06月房价,26275元/㎡,6.03%↑,罗湖,dongmen
7,"2014年05月房价
24781元/㎡
3.51%↑
罗湖
dongmen",2014年05月房价,24781元/㎡,3.51%↑,罗湖,dongmen
8,"2014年04月房价
23941元/㎡
0.92%↓
罗湖
dongmen",2014年04月房价,23941元/㎡,0.92%↓,罗湖,dongmen
9,"2014年03月房价
24164元/㎡
1.3%↓
罗湖
dongmen",2014年03月房价,24164元/㎡,1.3%↓,罗湖,dongmen
10,"2014年02月房价
24483元/㎡
2.44%↑
罗湖
dongmen",2014年02月房价,24483元/㎡,2.44%↑,罗湖,dongmen
11,"2014年01月房价
23899元/㎡
1.08%↑
罗湖
dongmen",2014年01月房价,23899元/㎡,1.08%↑,罗湖,dongmen
0,"2015年12月房价
36875元/㎡
5%↑
罗湖
buxin",2015年12月房价,36875元/㎡,5%↑,罗湖,buxin
1,"2015年11月房价
34956元/㎡
--
罗湖
buxin",2015年11月房价,34956元/㎡,--,罗湖,buxin
2,"2015年10月房价
34972元/㎡
2%↑
罗湖
buxin",2015年10月房价,34972元/㎡,2%↑,罗湖,buxin
3,"2015年09月房价
34157元/㎡
4%↑
罗湖
buxin",2015年09月房价,34157元/㎡,4%↑,罗湖,buxin
4,"2015年08月房价
32777元/㎡
4%↑
罗湖
buxin",2015年08月房价,32777元/㎡,4%↑,罗湖,buxin
5,"2015年07月房价
31519元/㎡
10%↑
罗湖
buxin",2015年07月房价,31519元/㎡,10%↑,罗湖,buxin
6,"2015年06月房价
28631元/㎡
8%↑
罗湖
buxin",2015年06月房价,28631元/㎡,8%↑,罗湖,buxin
7,"2015年05月房价
26501元/㎡
2%↑
罗湖
buxin",2015年05月房价,26501元/㎡,2%↑,罗湖,buxin
8,"2015年04月房价
25956元/㎡
3%↑
罗湖
buxin",2015年04月房价,25956元/㎡,3%↑,罗湖,buxin
9,"2015年03月房价
25316元/㎡
5%↑
罗湖
buxin",2015年03月房价,25316元/㎡,5%↑,罗湖,buxin
10,"2015年02月房价
24020元/㎡
4%↓
罗湖
buxin",2015年02月房价,24020元/㎡,4%↓,罗湖,buxin
11,"2015年01月房价
24960元/㎡
1%↓
罗湖
buxin",2015年01月房价,24960元/㎡,1%↓,罗湖,buxin
0,"2017年12月房价
36419元/㎡
2.93%↑
龙华
longhuazhongxinqu",2017年12月房价,36419元/㎡,2.93%↑,龙华,longhuazhongxinqu
1,"2017年11月房价
35382元/㎡
2.4%↑
龙华
longhuazhongxinqu",2017年11月房价,35382元/㎡,2.4%↑,龙华,longhuazhongxinqu
2,"2017年10月房价
34555元/㎡
7.73%↑
龙华
longhuazhongxinqu",2017年10月房价,34555元/㎡,7.73%↑,龙华,longhuazhongxinqu
3,"2017年09月房价
32076元/㎡
14.55%↑
龙华
longhuazhongxinqu",2017年09月房价,32076元/㎡,14.55%↑,龙华,longhuazhongxinqu
4,"2017年08月房价
28003元/㎡
1.95%↓
龙华
longhuazhongxinqu",2017年08月房价,28003元/㎡,1.95%↓,龙华,longhuazhongxinqu
5,"2017年07月房价
28560元/㎡
4.56%↓
龙华
longhuazhongxinqu",2017年07月房价,28560元/㎡,4.56%↓,龙华,longhuazhongxinqu
6,"2017年06月房价
29924元/㎡
10.96%↑
龙华
longhuazhongxinqu",2017年06月房价,29924元/㎡,10.96%↑,龙华,longhuazhongxinqu
7,"2017年05月房价
26967元/㎡
89.43%↑
龙华
longhuazhongxinqu",2017年05月房价,26967元/㎡,89.43%↑,龙华,longhuazhongxinqu
8,"2017年04月房价
14236元/㎡
16.2%↑
龙华
longhuazhongxinqu",2017年04月房价,14236元/㎡,16.2%↑,龙华,longhuazhongxinqu
9,"2017年03月房价
12251元/㎡
14.54%↑
龙华
longhuazhongxinqu",2017年03月房价,12251元/㎡,14.54%↑,龙华,longhuazhongxinqu
10,"2017年02月房价
10695元/㎡
0.5%↑
龙华
longhuazhongxinqu",2017年02月房价,10695元/㎡,0.5%↑,龙华,longhuazhongxinqu
11,"2017年01月房价
10643元/㎡
16.87%↓
龙华
longhuazhongxinqu",2017年01月房价,10643元/㎡,16.87%↓,龙华,longhuazhongxinqu
0,"2015年12月房价
48222元/㎡
--
南山
nantou",2015年12月房价,48222元/㎡,--,南山,nantou
1,"2015年11月房价
48013元/㎡
2%↑
南山
nantou",2015年11月房价,48013元/㎡,2%↑,南山,nantou
2,"2015年10月房价
47226元/㎡
1%↓
南山
nantou",2015年10月房价,47226元/㎡,1%↓,南山,nantou
3,"2015年09月房价
47929元/㎡
3%↑
南山
nantou",2015年09月房价,47929元/㎡,3%↑,南山,nantou
4,"2015年08月房价
46358元/㎡
1%↑
南山
nantou",2015年08月房价,46358元/㎡,1%↑,南山,nantou
5,"2015年07月房价
45704元/㎡
11%↑
南山
nantou",2015年07月房价,45704元/㎡,11%↑,南山,nantou
6,"2015年06月房价
41160元/㎡
12%↑
南山
nantou",2015年06月房价,41160元/㎡,12%↑,南山,nantou
7,"2015年05月房价
36838元/㎡
9%↑
南山
nantou",2015年05月房价,36838元/㎡,9%↑,南山,nantou
8,"2015年04月房价
33647元/㎡
7%↑
南山
nantou",2015年04月房价,33647元/㎡,7%↑,南山,nantou
9,"2015年03月房价
31534元/㎡
--
南山
nantou",2015年03月房价,31534元/㎡,--,南山,nantou
10,"2015年02月房价
31500元/㎡
--
南山
nantou",2015年02月房价,31500元/㎡,--,南山,nantou
11,"2015年01月房价
31421元/㎡
--
南山
nantou",2015年01月房价,31421元/㎡,--,南山,nantou
0,"2018年12月房价
52724元/㎡
2.34%↓
罗湖
liantang",2018年12月房价,52724元/㎡,2.34%↓,罗湖,liantang
1,"2018年11月房价
53990元/㎡
0.8%↑
罗湖
liantang",2018年11月房价,53990元/㎡,0.8%↑,罗湖,liantang
2,"2018年10月房价
53561元/㎡
1.57%↓
罗湖
liantang",2018年10月房价,53561元/㎡,1.57%↓,罗湖,liantang
3,"2018年09月房价
54416元/㎡
1.79%↓
罗湖
liantang",2018年09月房价,54416元/㎡,1.79%↓,罗湖,liantang
4,"2018年08月房价
55409元/㎡
0.18%↑
罗湖
liantang",2018年08月房价,55409元/㎡,0.18%↑,罗湖,liantang
5,"2018年07月房价
55307元/㎡
1.53%↑
罗湖
liantang",2018年07月房价,55307元/㎡,1.53%↑,罗湖,liantang
6,"2018年06月房价
54472元/㎡
1.82%↑
罗湖
liantang",2018年06月房价,54472元/㎡,1.82%↑,罗湖,liantang
7,"2018年05月房价
53497元/㎡
0.88%↓
罗湖
liantang",2018年05月房价,53497元/㎡,0.88%↓,罗湖,liantang
8,"2018年04月房价
53973元/㎡
1.74%↓
罗湖
liantang",2018年04月房价,53973元/㎡,1.74%↓,罗湖,liantang
9,"2018年03月房价
54930元/㎡
11.08%↓
罗湖
liantang",2018年03月房价,54930元/㎡,11.08%↓,罗湖,liantang
10,"2018年02月房价
61774元/㎡
5.23%↑
罗湖
liantang",2018年02月房价,61774元/㎡,5.23%↑,罗湖,liantang
11,"2018年01月房价
58706元/㎡
8.17%↑
罗湖
liantang",2018年01月房价,58706元/㎡,8.17%↑,罗湖,liantang
0,"2020年11月房价
63102元/㎡
1.11%↑
宝安中心
taoyuanju",2020年11月房价,63102元/㎡,1.11%↑,宝安中心,taoyuanju
1,"2020年10月房价
62409元/㎡
1.55%↑
宝安中心
taoyuanju",2020年10月房价,62409元/㎡,1.55%↑,宝安中心,taoyuanju
2,"2020年09月房价
61457元/㎡
0.29%↑
宝安中心
taoyuanju",2020年09月房价,61457元/㎡,0.29%↑,宝安中心,taoyuanju
3,"2020年08月房价
61277元/㎡
4.66%↑
宝安中心
taoyuanju",2020年08月房价,61277元/㎡,4.66%↑,宝安中心,taoyuanju
4,"2020年07月房价
58547元/㎡
5.42%↑
宝安中心
taoyuanju",2020年07月房价,58547元/㎡,5.42%↑,宝安中心,taoyuanju
5,"2020年06月房价
55540元/㎡
1.98%↑
宝安中心
taoyuanju",2020年06月房价,55540元/㎡,1.98%↑,宝安中心,taoyuanju
6,"2020年05月房价
54461元/㎡
1.14%↑
宝安中心
taoyuanju",2020年05月房价,54461元/㎡,1.14%↑,宝安中心,taoyuanju
7,"2020年04月房价
53846元/㎡
0.58%↑
宝安中心
taoyuanju",2020年04月房价,53846元/㎡,0.58%↑,宝安中心,taoyuanju
8,"2020年03月房价
53537元/㎡
4.48%↑
宝安中心
taoyuanju",2020年03月房价,53537元/㎡,4.48%↑,宝安中心,taoyuanju
9,"2020年02月房价
51242元/㎡
2.49%↑
宝安中心
taoyuanju",2020年02月房价,51242元/㎡,2.49%↑,宝安中心,taoyuanju
10,"2020年01月房价
49998元/㎡
2.24%↑
宝安中心
taoyuanju",2020年01月房价,49998元/㎡,2.24%↑,宝安中心,taoyuanju
0,"2016年12月房价
31442元/㎡
2.91%↓
龙岗
henggang",2016年12月房价,31442元/㎡,2.91%↓,龙岗,henggang
1,"2016年11月房价
32386元/㎡
0.13%↑
龙岗
henggang",2016年11月房价,32386元/㎡,0.13%↑,龙岗,henggang
2,"2016年10月房价
32343元/㎡
1.07%↑
龙岗
henggang",2016年10月房价,32343元/㎡,1.07%↑,龙岗,henggang
3,"2016年09月房价
32000元/㎡
0.37%↑
龙岗
henggang",2016年09月房价,32000元/㎡,0.37%↑,龙岗,henggang
4,"2016年08月房价
31881元/㎡
1.17%↓
龙岗
henggang",2016年08月房价,31881元/㎡,1.17%↓,龙岗,henggang
5,"2016年07月房价
32256元/㎡
0.5%↑
龙岗
henggang",2016年07月房价,32256元/㎡,0.5%↑,龙岗,henggang
6,"2016年06月房价
32095元/㎡
1.65%↓
龙岗
henggang",2016年06月房价,32095元/㎡,1.65%↓,龙岗,henggang
7,"2016年05月房价
32632元/㎡
1.47%↓
龙岗
henggang",2016年05月房价,32632元/㎡,1.47%↓,龙岗,henggang
8,"2016年04月房价
33119元/㎡
1.86%↑
龙岗
henggang",2016年04月房价,33119元/㎡,1.86%↑,龙岗,henggang
9,"2016年03月房价
32513元/㎡
7.77%↑
龙岗
henggang",2016年03月房价,32513元/㎡,7.77%↑,龙岗,henggang
10,"2016年02月房价
30170元/㎡
4.09%↑
龙岗
henggang",2016年02月房价,30170元/㎡,4.09%↑,龙岗,henggang
11,"2016年01月房价
28986元/㎡
13.63%↑
龙岗
henggang",2016年01月房价,28986元/㎡,13.63%↑,龙岗,henggang
0,"2020年11月房价
84337元/㎡
0.31%↑
福田
futiankouan",2020年11月房价,84337元/㎡,0.31%↑,福田,futiankouan
1,"2020年10月房价
84077元/㎡
0.29%↓
福田
futiankouan",2020年10月房价,84077元/㎡,0.29%↓,福田,futiankouan
2,"2020年09月房价
84318元/㎡
1.7%↑
福田
futiankouan",2020年09月房价,84318元/㎡,1.7%↑,福田,futiankouan
3,"2020年08月房价
82910元/㎡
5.02%↑
福田
futiankouan",2020年08月房价,82910元/㎡,5.02%↑,福田,futiankouan
4,"2020年07月房价
78949元/㎡
3.39%↑
福田
futiankouan",2020年07月房价,78949元/㎡,3.39%↑,福田,futiankouan
